EMPRESA;ENVIO_ID;ID_PEDIDO;ETIQUETA;DATA
126;3992492;0;PY398520195BR;20/07/2020
126;3993105;0;OJ892543719BR;20/07/2020
126;3991803;0;PY398520289BR;20/07/2020
126;3993510;0;PY398520292BR;20/07/2020
126;3993611;0;PY398520301BR;20/07/2020
126;3993613;0;PY398520329BR;20/07/2020
126;3993614;0;OJ892543740BR;20/07/2020
126;3993615;0;OJ892543753BR;20/07/2020
126;3993616;0;PY398520332BR;20/07/2020
126;3993618;0;OJ892543767BR;20/07/2020
126;3993619;0;OJ892543775BR;20/07/2020
126;3993634;0;OJ892543784BR;20/07/2020
126;3993828;0;PY398520377BR;20/07/2020
126;3995130;0;PY398520394BR;20/07/2020
126;3995135;0;PY398520403BR;20/07/2020
126;3995153;0;OJ892543798BR;20/07/2020
126;3995247;0;OJ892543807BR;20/07/2020
126;3995315;0;PY398520417BR;20/07/2020
126;3995323;0;PY398520425BR;20/07/2020
126;3995342;0;PY398520434BR;20/07/2020
126;3995353;0;PY398520448BR;20/07/2020
126;3995365;0;PY398520451BR;20/07/2020
126;3995452;0;OJ892543815BR;20/07/2020
126;3995560;0;PY398520479BR;20/07/2020
126;3995611;0;OJ892543824BR;20/07/2020
126;3995648;0;OJ892543838BR;20/07/2020
126;3992492;0;PY398520195BR;20/07/2020
126;3993105;0;OJ892543719BR;20/07/2020
126;3991803;0;PY398520289BR;20/07/2020
126;3993510;0;PY398520292BR;20/07/2020
126;3993611;0;PY398520301BR;20/07/2020
126;3993613;0;PY398520329BR;20/07/2020
126;3993614;0;OJ892543740BR;20/07/2020
126;3993615;0;OJ892543753BR;20/07/2020
126;3993616;0;PY398520332BR;20/07/2020
126;3993618;0;OJ892543767BR;20/07/2020
126;3993619;0;OJ892543775BR;20/07/2020
126;3993634;0;OJ892543784BR;20/07/2020
126;3993828;0;PY398520377BR;20/07/2020
126;3995130;0;PY398520394BR;20/07/2020
126;3995135;0;PY398520403BR;20/07/2020
126;3995153;0;OJ892543798BR;20/07/2020
126;3995247;0;OJ892543807BR;20/07/2020
126;3995315;0;PY398520417BR;20/07/2020
126;3995323;0;PY398520425BR;20/07/2020
126;3995342;0;PY398520434BR;20/07/2020
126;3995353;0;PY398520448BR;20/07/2020
126;3995365;0;PY398520451BR;20/07/2020
126;3995452;0;OJ892543815BR;20/07/2020
126;3995560;0;PY398520479BR;20/07/2020
126;3995611;0;OJ892543824BR;20/07/2020
126;3995648;0;OJ892543838BR;20/07/2020
