EMPRESA;ENVIO_ID;ID_PEDIDO;ETIQUETA;DATA
126;3993077;0;PY398520482BR;20/07/2020
126;3995759;0;PY398520496BR;20/07/2020
126;3995916;0;PY398520505BR;20/07/2020
126;3996305;0;PY398520522BR;20/07/2020
126;3996306;0;OJ892543855BR;20/07/2020
126;3996307;0;OJ892543869BR;20/07/2020
126;3996308;0;OJ892543872BR;20/07/2020
126;3996310;0;OJ892543886BR;20/07/2020
126;3996346;0;OJ892543890BR;20/07/2020
126;3996418;0;PY398520540BR;20/07/2020
126;3996457;0;OJ892543909BR;20/07/2020
126;3996531;0;PY398520553BR;20/07/2020
126;3996653;0;PY398520567BR;20/07/2020
126;3996699;0;PY398520575BR;20/07/2020
126;3996731;0;PY398520584BR;20/07/2020
126;3996732;0;PY398520598BR;20/07/2020
126;3996930;0;OJ892543912BR;20/07/2020
126;3997091;0;OJ892543926BR;20/07/2020
126;3998126;0;PY398520638BR;20/07/2020
126;3998174;0;PY398520641BR;20/07/2020
126;3998351;0;PY398520690BR;20/07/2020
126;3998394;0;PY398520686BR;20/07/2020
126;3993077;0;PY398520482BR;20/07/2020
126;3995759;0;PY398520496BR;20/07/2020
126;3995916;0;PY398520505BR;20/07/2020
126;3996305;0;PY398520522BR;20/07/2020
126;3996306;0;OJ892543855BR;20/07/2020
126;3996307;0;OJ892543869BR;20/07/2020
126;3996308;0;OJ892543872BR;20/07/2020
126;3996310;0;OJ892543886BR;20/07/2020
126;3996346;0;OJ892543890BR;20/07/2020
126;3996418;0;PY398520540BR;20/07/2020
126;3996457;0;OJ892543909BR;20/07/2020
126;3996531;0;PY398520553BR;20/07/2020
126;3996653;0;PY398520567BR;20/07/2020
126;3996699;0;PY398520575BR;20/07/2020
126;3996731;0;PY398520584BR;20/07/2020
126;3996732;0;PY398520598BR;20/07/2020
126;3996930;0;OJ892543912BR;20/07/2020
126;3997091;0;OJ892543926BR;20/07/2020
126;3998126;0;PY398520638BR;20/07/2020
126;3998174;0;PY398520641BR;20/07/2020
126;3998351;0;PY398520690BR;20/07/2020
126;3998394;0;PY398520686BR;20/07/2020
