EMPRESA;ENVIO_ID;ID_PEDIDO;ETIQUETA;DATA
126;03968855;0;OJ892542418BR;08/07/2020
126;03969614;0;OJ892542452BR;08/07/2020
126;03969920;0;OJ892542466BR;08/07/2020
126;03969948;0;PY398517775BR;08/07/2020
126;03970992;0;PY398517801BR;08/07/2020
126;03971895;0;PY398517687BR;08/07/2020
126;03971907;0;PY398517903BR;08/07/2020
126;03972039;0;OJ892542537BR;08/07/2020
126;03972111;0;OJ892542545BR;08/07/2020
126;03972550;0;OJ892542571BR;08/07/2020
126;03972556;0;PY398517965BR;08/07/2020
126;03972824;0;PY398517979BR;08/07/2020
126;03973594;0;PY398518016BR;08/07/2020
126;03973964;0;OJ892542608BR;08/07/2020
126;3975348;0;OJ892542639BR;08/07/2020
126;3975603;0;OJ892542642BR;08/07/2020
126;3976574;0;PY398518078BR;08/07/2020
126;3976575;0;OJ892542656BR;08/07/2020
126;3976576;0;OJ892542660BR;08/07/2020
126;3976577;0;PY398518081BR;08/07/2020
126;3976578;0;OJ892542673BR;08/07/2020
126;3976579;0;OJ892542687BR;08/07/2020
126;3976580;0;OJ892542695BR;08/07/2020
126;3977421;0;OJ892542713BR;08/07/2020
126;3977859;0;PY398518095BR;08/07/2020
126;3978638;0;PY398518104BR;08/07/2020
126;3978889;0;OJ892542744BR;08/07/2020
126;3978919;0;PY398518118BR;08/07/2020
126;3979077;0;OJ892542758BR;08/07/2020
126;3979496;0;PY398518135BR;08/07/2020
126;3979498;0;PY398518149BR;08/07/2020
126;3979689;0;PY398518170BR;08/07/2020
126;3979867;0;OJ892542789BR;08/07/2020
126;3979899;0;PY398518183BR;08/07/2020
126;3980346;0;OJ892542792BR;08/07/2020
126;3980431;0;OJ892542801BR;08/07/2020
126;3980449;0;OJ892542815BR;08/07/2020
126;03968855;0;OJ892542418BR;08/07/2020
126;03969614;0;OJ892542452BR;08/07/2020
126;03969920;0;OJ892542466BR;08/07/2020
126;03969948;0;PY398517775BR;08/07/2020
126;03970992;0;PY398517801BR;08/07/2020
126;03971895;0;PY398517687BR;08/07/2020
126;03971907;0;PY398517903BR;08/07/2020
126;03972039;0;OJ892542537BR;08/07/2020
126;03972111;0;OJ892542545BR;08/07/2020
126;03972550;0;OJ892542571BR;08/07/2020
126;03972556;0;PY398517965BR;08/07/2020
126;03972824;0;PY398517979BR;08/07/2020
126;03973594;0;PY398518016BR;08/07/2020
126;03973964;0;OJ892542608BR;08/07/2020
126;3975348;0;OJ892542639BR;08/07/2020
126;3975603;0;OJ892542642BR;08/07/2020
126;3976574;0;PY398518078BR;08/07/2020
126;3976575;0;OJ892542656BR;08/07/2020
126;3976576;0;OJ892542660BR;08/07/2020
126;3976577;0;PY398518081BR;08/07/2020
126;3976578;0;OJ892542673BR;08/07/2020
126;3976579;0;OJ892542687BR;08/07/2020
126;3976580;0;OJ892542695BR;08/07/2020
126;3977421;0;OJ892542713BR;08/07/2020
126;3977859;0;PY398518095BR;08/07/2020
126;3978638;0;PY398518104BR;08/07/2020
126;3978889;0;OJ892542744BR;08/07/2020
126;3978919;0;PY398518118BR;08/07/2020
126;3979077;0;OJ892542758BR;08/07/2020
126;3979496;0;PY398518135BR;08/07/2020
126;3979498;0;PY398518149BR;08/07/2020
126;3979689;0;PY398518170BR;08/07/2020
126;3979867;0;OJ892542789BR;08/07/2020
126;3979899;0;PY398518183BR;08/07/2020
126;3980346;0;OJ892542792BR;08/07/2020
126;3980431;0;OJ892542801BR;08/07/2020
126;3980449;0;OJ892542815BR;08/07/2020
